sample_id,class,board_id,selected_alpha,pixel_diff_ap,pixel_diff_auc,pixel_diff_positive_patches,pixel_diff_negative_patches,pixel_diff_pos_mean,pixel_diff_neg_mean,pixel_diff_lift,pixel_diff_top1_hit,pixel_diff_top5_hit,pixel_diff_top10_hit,dinov2_diff_ap,dinov2_diff_auc,dinov2_diff_positive_patches,dinov2_diff_negative_patches,dinov2_diff_pos_mean,dinov2_diff_neg_mean,dinov2_diff_lift,dinov2_diff_top1_hit,dinov2_diff_top5_hit,dinov2_diff_top10_hit,hybrid_pixel_dino_ap,hybrid_pixel_dino_auc,hybrid_pixel_dino_positive_patches,hybrid_pixel_dino_negative_patches,hybrid_pixel_dino_pos_mean,hybrid_pixel_dino_neg_mean,hybrid_pixel_dino_lift,hybrid_pixel_dino_top1_hit,hybrid_pixel_dino_top5_hit,hybrid_pixel_dino_top10_hit
04_missing_hole_01,Missing_hole,04,0.75,0.7128218177294497,0.9279723991507431,10,942,2.2841145992279053,0.33174511790275574,6.885149002075195,True,True,True,0.2895092878090396,0.9722929936305733,10,942,0.02586529776453972,0.00230084708891809,11.241596221923828,False,True,True,0.8025044091710758,0.9910828025477707,10,942,0.2722662687301636,0.01664792373776436,16.354358673095703,True,True,True
04_missing_hole_02,Missing_hole,04,0.75,0.753732638544514,0.8688426906779662,8,944,2.4152016639709473,0.3317568004131317,7.280036449432373,True,True,True,0.20684953225585145,0.9382944915254238,8,944,0.02418459765613079,0.0022824849002063274,10.59568977355957,False,True,True,0.7547766721192294,0.8980402542372881,8,944,0.44051504135131836,0.024997549131512642,17.62232208251953,True,True,True
04_missing_hole_03,Missing_hole,04,0.75,0.4321299953096469,0.7403812056737589,12,940,1.818684697151184,0.33172789216041565,5.482459545135498,True,True,True,0.3382854086731954,0.8759751773049644,12,940,0.049827080219984055,0.0024624511133879423,20.234670639038086,True,True,True,0.5505338756475867,0.8070921985815603,12,940,0.20822755992412567,0.013991006650030613,14.88294792175293,True,True,True
04_missing_hole_04,Missing_hole,04,0.75,0.5921267356609812,0.7929521276595745,12,940,1.6471353769302368,0.3318927586078644,4.962854385375977,True,True,True,0.17059986857783593,0.9620567375886525,12,940,0.015714304521679878,0.0023398324847221375,6.715970993041992,False,False,True,0.5772558376066713,0.9458333333333334,12,940,0.22692660987377167,0.02016059122979641,11.255946159362793,True,True,True
04_missing_hole_05,Missing_hole,04,0.75,0.47158002327818105,0.8411942554799696,7,945,2.422619104385376,0.3315531015396118,7.306880950927734,True,True,True,0.4515151515151515,0.9879062736205594,7,945,0.05563050135970116,0.0024817874655127525,22.4154109954834,False,True,True,0.6977624784853701,0.9866969009826153,7,945,0.37993839383125305,0.019560707733035088,19.423542022705078,True,True,True
04_missing_hole_06,Missing_hole,04,0.75,0.6063055706768281,0.8276663146779304,5,947,3.4778645038604736,0.33186763525009155,10.479673385620117,True,True,True,0.145030111294132,0.9300950369588173,5,947,0.039189644157886505,0.0023968194145709276,16.350624084472656,False,True,True,0.6148189346187122,0.8785638859556494,5,947,0.4868810176849365,0.01896875537931919,25.667512893676758,True,True,True
04_missing_hole_07,Missing_hole,04,0.75,0.4109525215376119,0.6916666666666667,10,942,1.852994680404663,0.3319372236728668,5.582365036010742,True,True,True,0.03932429004849663,0.8564755838641188,10,942,0.0049007730558514595,0.0022472133859992027,2.180816888809204,False,False,False,0.3995220789861374,0.7956475583864119,10,942,0.17889025807380676,0.01552317850291729,11.524066925048828,True,True,True
04_missing_hole_08,Missing_hole,04,0.75,0.2711948590346193,0.7398492907801419,12,940,1.711696982383728,0.3315935432910919,5.162033557891846,True,True,True,0.4135531637700477,0.9661347517730496,12,940,0.03721264377236366,0.0024407568853348494,15.246295928955078,False,True,True,0.5211678200980417,0.9426418439716311,12,940,0.2270495742559433,0.017139755189418793,13.246949195861816,True,True,True
04_missing_hole_09,Missing_hole,04,0.75,0.3077037790857047,0.5285562632696391,10,942,1.737760305404663,0.33201050758361816,5.2340521812438965,True,True,True,0.43895083112474415,0.9624203821656052,10,942,0.056126415729522705,0.002414287766441703,23.247516632080078,True,True,True,0.4916140042322223,0.9113588110403397,10,942,0.2790459990501404,0.01896939054131508,14.710323333740234,True,True,True
04_missing_hole_10,Missing_hole,04,0.75,0.8126582278481013,0.9844772967265047,5,947,2.9906249046325684,0.3318484127521515,9.0120210647583,True,True,True,0.33507246376811595,0.9877507919746569,5,947,0.06532368808984756,0.0024386781733483076,26.786407470703125,False,True,True,0.9,0.9989440337909187,5,947,0.41267386078834534,0.017053302377462387,24.199045181274414,True,True,True
